sub_type,year,signature,prop
non_syn,2,SBS192A,0.2058329459298053
non_syn,2,SBS192B,0.14480295706136692
non_syn,2,SBS192C,0.6493640970088278
non_syn,3,SBS192A,0.281712624482635
non_syn,3,SBS192B,0.1117469131360862
non_syn,3,SBS192C,0.6065404623812788
non_syn,4,SBS192A,0.3725049072999944
non_syn,4,SBS192B,0.05996331734742595
non_syn,4,SBS192C,0.5675317753525796
non_syn,5,SBS192A,0.445253174767412
non_syn,5,SBS192B,0.08038408009250225
non_syn,5,SBS192C,0.4743627451400858
non_syn,6,SBS192A,0.5295842521307009
non_syn,6,SBS192B,0.10429709854748914
non_syn,6,SBS192C,0.3661186493218099
non_syn,7,SBS192A,0.5872977356941206
non_syn,7,SBS192B,0.11056535402247604
non_syn,7,SBS192C,0.30213691028340334
non_syn,8,SBS192A,0.612303284346571
non_syn,8,SBS192B,0.1222627302990062
non_syn,8,SBS192C,0.2654339853544227
non_syn,9,SBS192A,0.5783835256978118
non_syn,9,SBS192B,0.18407897284868097
non_syn,9,SBS192C,0.23753750145350727
non_syn,10,SBS192A,0.6147840643381073
non_syn,10,SBS192B,0.16900974661483453
non_syn,10,SBS192C,0.21620618904705824
non_syn,11,SBS192A,0.664522311606184
non_syn,11,SBS192B,0.1491119205745393
non_syn,11,SBS192C,0.18636576781927666
non_syn,12,SBS192A,0.7084737907436887
non_syn,12,SBS192B,0.12574381658723463
non_syn,12,SBS192C,0.1657823926690768
non_syn,13,SBS192A,0.6755366532789345
non_syn,13,SBS192B,0.13005967043420347
non_syn,13,SBS192C,0.19440367628686211
non_syn,14,SBS192A,0.6903400905211898
non_syn,14,SBS192B,0.11829138672163816
non_syn,14,SBS192C,0.191368522757172
non_syn,15,SBS192A,0.6618005014442918
non_syn,15,SBS192B,0.137547226599883
non_syn,15,SBS192C,0.20065227195582516
non_syn,16,SBS192A,0.634593841486993
non_syn,16,SBS192B,0.16599719478977257
non_syn,16,SBS192C,0.19940896372323438
non_syn,17,SBS192A,0.5835914252288684
non_syn,17,SBS192B,0.2179146493725093
non_syn,17,SBS192C,0.1984939253986223
non_syn,18,SBS192A,0.5652783817020577
non_syn,18,SBS192B,0.23934789850526847
non_syn,18,SBS192C,0.195373719792674
non_syn,19,SBS192A,0.5176123162659156
non_syn,19,SBS192B,0.2880773948606611
non_syn,19,SBS192C,0.1943102888734234
non_syn,20,SBS192A,0.34413291080362185
non_syn,20,SBS192B,0.5077486760249615
non_syn,20,SBS192C,0.14811841317141658
non_syn,21,SBS192A,0.26951355288710216
non_syn,21,SBS192B,0.5927227292507729
non_syn,21,SBS192C,0.1377637178621251
syn,2,SBS192A,0.24231884560698919
syn,2,SBS192B,0.17003580809790692
syn,2,SBS192C,0.5876453462951038
syn,3,SBS192A,0.3322965625704375
syn,3,SBS192B,0.12963659132741234
syn,3,SBS192C,0.5380668461021502
syn,4,SBS192A,0.43506502112718204
syn,4,SBS192B,0.06843229666643395
syn,4,SBS192C,0.496502682206384
syn,5,SBS192A,0.5045806236422476
syn,5,SBS192B,0.09126194099289452
syn,5,SBS192C,0.40415743536485776
syn,6,SBS192A,0.5769850794236882
syn,6,SBS192B,0.11526247532256306
syn,6,SBS192C,0.30775244525374873
syn,7,SBS192A,0.6287132516194579
syn,7,SBS192B,0.11910460354815439
syn,7,SBS192C,0.2521821448323878
syn,8,SBS192A,0.6476303367095043
syn,8,SBS192B,0.12976826432963967
syn,8,SBS192C,0.22260139896085612
syn,9,SBS192A,0.602104988511164
syn,9,SBS192B,0.19424243605227376
syn,9,SBS192C,0.20365257543656218
syn,10,SBS192A,0.6423021387901641
syn,10,SBS192B,0.17590825088969078
syn,10,SBS192C,0.18178961032014518
syn,11,SBS192A,0.6933185446993951
syn,11,SBS192B,0.15706718418166848
syn,11,SBS192C,0.14961427111893638
syn,12,SBS192A,0.7396486944708096
syn,12,SBS192B,0.13198988628295383
syn,12,SBS192C,0.12836141924623667
syn,13,SBS192A,0.7059981260687115
syn,13,SBS192B,0.13972547084684867
syn,13,SBS192C,0.1542764030844398
syn,14,SBS192A,0.7215255862470477
syn,14,SBS192B,0.12760771402736742
syn,14,SBS192C,0.15086669972558497
syn,15,SBS192A,0.6899486354318447
syn,15,SBS192B,0.1490648183868486
syn,15,SBS192C,0.16098654618130676
syn,16,SBS192A,0.6560338066315737
syn,16,SBS192B,0.180404547528591
syn,16,SBS192C,0.1635616458398353
syn,17,SBS192A,0.6000146282308386
syn,17,SBS192B,0.23409343594051105
syn,17,SBS192C,0.16589193582865022
syn,18,SBS192A,0.5818778825264871
syn,18,SBS192B,0.2554942724250253
syn,18,SBS192C,0.16262784504848754
syn,19,SBS192A,0.5318816741410971
syn,19,SBS192B,0.30668579436472054
syn,19,SBS192C,0.1614325314941823
syn,20,SBS192A,0.3490182770126109
syn,20,SBS192B,0.5300988413518309
syn,20,SBS192C,0.12088288163555824
syn,21,SBS192A,0.27545349455800217
syn,21,SBS192B,0.6133860973837515
syn,21,SBS192C,0.11116040805824626
