start,end,seq_len,exp_site,exp_s_site,exp_n_site,exp_ratio,obs_s,obs_n,dnds
4.5,9,29265,29086.999999999887,9212.206900291181,19874.793099708706,2.1574410252423335,2742,4190,0.7082843397880768
5.5,10,29265,29090.999999999975,9226.625899297953,19864.37410070202,2.1529402316196093,3050,4640,0.7066203943178613
6.5,11,29265,29090.9999999999,9206.639614513013,19884.36038548689,2.159784809447945,3650,5388,0.6834775284575508
7.5,12,29265,29090.999999999804,9217.017997612535,19873.982002387267,2.1562268846100965,4390,6297,0.6652344266695536
8.5,13,29265,29091.000000000204,9234.811893633641,19856.18810636656,2.1501453776286614,5079,7187,0.6581147237254095
9.5,14,29265,29054.999999999858,9257.440956444341,19797.559043555517,2.1385563393492593,5753,7947,0.6459339968192165
10.5,15,29265,29055.000000000007,9299.791730978532,19755.208269021477,2.1242635147639826,6185,8382,0.6379689800968357
11.5,16,29265,29054.999999999964,9291.329853406161,19763.670146593802,2.1271088701418264,6590,8971,0.639978999991894
12.5,17,29265,29054.99999999978,9290.096466618654,19764.90353338113,2.1275240364188623,7030,9540,0.6378500212210634
13.5,18,29265,29050.000000000247,9299.81966845813,19750.180331542117,2.123716484366692,7407,9978,0.6343144674166364
14.5,19,29265,29050.000000000022,9322.580871183929,19727.41912881609,2.1160898898494396,7567,10243,0.6396896536712133
15.5,20,29265,29085.999999999938,9326.882643556139,19759.1173564438,2.1185124882101096,7995,10851,0.6406491687415209
16.5,21,29265,29085.99999999996,9338.434048022631,19747.56595197733,2.114654967891408,8082,11225,0.6567922001355122
17.5,22,29265,29086.00000000006,9365.874183765656,19720.125816234402,2.1055296525781113,8059,11254,0.663230351988716
18.5,23,29265,29086.000000000226,9382.376380866253,19703.623619133974,2.1000674902912797,7826,10972,0.6675944282568133
19.5,24,29265,29086.00000000012,9400.23232248826,19685.76767751186,2.094178846028882,7838,11105,0.6765494345664095
20.5,25,29265,29085.999999999978,9382.92028040452,19703.07971959546,2.09988778874566,7743,11091,0.6821271850699714
21.5,26,29265,29085.999999999876,9407.15150698753,19678.84849301235,2.091903003623904,7383,10492,0.6793348115968486
22.5,27,29265,29085.99999999996,9419.451762432192,19666.548237567768,2.0878654866097723,6881,9786,0.6811631392331429
23.5,28,29265,29086.00000000007,9412.281623110008,19673.71837689006,2.0902177776518194,6412,9060,0.6759944756593493
24.5,29,29265,29085.999999999978,9387.059574583605,19698.940425416375,2.098520870023368,6295,8780,0.6646384909319153
25.5,30,29265,29050.00000000011,9383.988827366555,19666.011172633553,2.0956984854118224,6103,8348,0.6526949776640701
26.5,31,29265,29050.00000000014,9394.538736653822,19655.461263346315,2.092222067982793,5820,7676,0.6303825792805177
27.5,32,29265,29050.000000000095,9349.543194286702,19700.45680571339,2.1071036730170842,5469,7134,0.6190693140336879
28.5,33,29265,29050.00000000011,9320.076799641492,19729.923200358615,2.1169271052699425,5152,6653,0.6100083297564449
29.5,34,29265,29050.00000000021,9294.297017271272,19755.70298272894,2.125572589946028,4662,5832,0.5885309477937025
30.5,35,29265,29000.000000000033,9317.170182869726,19682.829817130307,2.112533036406116,4389,5298,0.5714034573615232
31.5,36,29265,29049.99999999994,9316.474000108223,19733.525999891717,2.118132460806791,4437,5320,0.5660686293958556
32.5,37,29265,29085.999999999956,9307.80947784064,19778.190522159315,2.124902810832753,4406,5265,0.5623605042821983
33.5,38,29265,29085.99999999981,9313.011956140295,19772.988043859517,2.1231571630081185,4332,5282,0.5742854400314465
34.5,39,29265,29086.000000000124,9332.11002211736,19753.889977882765,2.1167656543981477,4365,5357,0.5797818531826071
35.5,40,29265,29085.99999999999,9346.051626516495,19739.948373483494,2.1121163419938287,4190,5226,0.5905239901467726
36.5,41,29265,29085.999999999985,9315.389878725195,19770.610121274793,2.1223599203751617,4189,5287,0.5946753192728131
37.5,42,29265,29086.0000000002,9363.180362620275,19722.819637379926,2.1064231247875393,4130,5161,0.5932506100834486
38.5,43,29265,29090.999999999993,9410.79088358287,19680.20911641712,2.0912385961895357,4018,4962,0.5905317355183867
39.5,44,29265,29090.999999999913,9406.884081532686,19684.115918467225,2.0925224280280537,3775,4691,0.5938521804966083
40.5,45,29265,29090.999999999884,9410.043000622189,19680.956999377697,2.091484278879108,3768,4697,0.5960120792832124
41.5,46,29265,29090.999999999975,9415.145243012725,19675.85475698725,2.089808946026544,3655,4558,0.5967334123535579
42.5,47,29265,29091.00000000006,9400.167290875406,19690.83270912465,2.094732157398755,3577,4455,0.5945662707021119
